model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3185,1e-05,1e-06,0.0,-0.25,0.08,0.0035187,0.03094,2SEG,1,LIDAR,0.0154813,0.16906000000000002,0.8148052631578947,0.8453,0.8300526315789474
M3186,1e-05,1e-06,0.0,0.0,0.03,0.00354,0.01581,2SEG,1,LIDAR,0.01546,0.18419000000000002,0.8136842105263158,0.92095,0.8673171052631579
M3187,1e-05,1e-06,0.0,0.0,0.035,0.0035376,0.01734,2SEG,1,LIDAR,0.0154624,0.18266000000000002,0.8138105263157894,0.9133,0.8635552631578947
M3188,1e-05,1e-06,0.0,0.0,0.04,0.0035353,0.01878,2SEG,1,LIDAR,0.0154647,0.18122000000000002,0.8139315789473685,0.9061,0.8600157894736842
M3189,1e-05,1e-06,0.0,0.0,0.05,0.0035311,0.02145,2SEG,1,LIDAR,0.015468899999999999,0.17855000000000001,0.8141526315789474,0.89275,0.8534513157894736
M3190,1e-05,1e-06,0.0,0.0,0.08,0.0035202,0.02839,2SEG,1,LIDAR,0.0154798,0.17161,0.8147263157894737,0.85805,0.8363881578947369
M3191,1e-05,1e-06,0.0,0.25,0.03,0.0035406,0.01479,2SEG,1,LIDAR,0.0154594,0.18521,0.8136526315789474,0.92605,0.8698513157894737
M3192,1e-05,1e-06,0.0,0.25,0.035,0.0035382,0.01622,2SEG,1,LIDAR,0.0154618,0.18378,0.813778947368421,0.9188999999999999,0.8663394736842105
M3193,1e-05,1e-06,0.0,0.25,0.04,0.003536,0.01756,2SEG,1,LIDAR,0.015463999999999999,0.18244000000000002,0.8138947368421052,0.9122,0.8630473684210527
M3194,1e-05,1e-06,0.0,0.25,0.05,0.0035319,0.02007,2SEG,1,LIDAR,0.015468099999999999,0.17993,0.8141105263157894,0.89965,0.8568802631578947
M3195,1e-05,1e-06,0.0,0.25,0.08,0.0035213,0.02656,2SEG,1,LIDAR,0.0154787,0.17344,0.8146684210526316,0.8672,0.8409342105263158
M3196,1e-05,1e-06,0.0,0.5,0.03,0.003541,0.01401,2SEG,1,LIDAR,0.015459,0.18599000000000002,0.8136315789473685,0.92995,0.8717907894736843
M3197,1e-05,1e-06,0.0,0.5,0.035,0.0035387,0.01536,2SEG,1,LIDAR,0.015461299999999999,0.18464,0.8137526315789473,0.9231999999999999,0.8684763157894736
M3198,1e-05,1e-06,0.0,0.5,0.04,0.0035366,0.01663,2SEG,1,LIDAR,0.015463399999999999,0.18337,0.8138631578947368,0.9168499999999999,0.8653565789473684
M3199,1e-05,1e-06,0.0,0.5,0.05,0.0035326,0.019,2SEG,1,LIDAR,0.0154674,0.18100000000000002,0.8140736842105263,0.905,0.8595368421052632
M3200,1e-05,1e-06,0.0,0.5,0.08,0.0035222,0.02515,2SEG,1,LIDAR,0.0154778,0.17485,0.8146210526315789,0.87425,0.8444355263157894
M3201,1e-05,1e-06,0.25,-0.5,0.03,0.0035388,0.01946,2SEG,1,LIDAR,0.0154612,0.18054,0.8137473684210527,0.9027,0.8582236842105263
M3202,1e-05,1e-06,0.25,-0.5,0.035,0.0035363,0.02134,2SEG,1,LIDAR,0.0154637,0.17866,0.8138789473684211,0.8933,0.8535894736842106
M3203,1e-05,1e-06,0.25,-0.5,0.04,0.0035339,0.02311,2SEG,1,LIDAR,0.0154661,0.17689000000000002,0.8140052631578948,0.8844500000000001,0.8492276315789474
M3204,1e-05,1e-06,0.25,-0.5,0.05,0.0035295,0.0264,2SEG,1,LIDAR,0.0154705,0.1736,0.8142368421052631,0.868,0.8411184210526316
M3205,1e-05,1e-06,0.25,-0.5,0.08,0.0035181,0.03494,2SEG,1,LIDAR,0.0154819,0.16506,0.8148368421052632,0.8253,0.8200684210526317
M3206,1e-05,1e-06,0.25,-0.25,0.03,0.0035401,0.01724,2SEG,1,LIDAR,0.015459899999999999,0.18276,0.813678947368421,0.9138,0.8637394736842104
M3207,1e-05,1e-06,0.25,-0.25,0.035,0.0035377,0.0189,2SEG,1,LIDAR,0.0154623,0.1811,0.8138052631578948,0.9055,0.8596526315789474
M3208,1e-05,1e-06,0.25,-0.25,0.04,0.0035355,0.02047,2SEG,1,LIDAR,0.015464499999999999,0.17953000000000002,0.8139210526315789,0.8976500000000001,0.8557855263157894
M3209,1e-05,1e-06,0.25,-0.25,0.05,0.0035313,0.02339,2SEG,1,LIDAR,0.0154687,0.17661000000000002,0.8141421052631579,0.88305,0.848596052631579
M3210,1e-05,1e-06,0.25,-0.25,0.08,0.0035205,0.03095,2SEG,1,LIDAR,0.0154795,0.16905,0.8147105263157896,0.84525,0.8299802631578947
M3211,1e-05,1e-06,0.25,0.0,0.03,0.003541,0.01582,2SEG,1,LIDAR,0.015459,0.18418,0.8136315789473685,0.9209,0.8672657894736843
M3212,1e-05,1e-06,0.25,0.0,0.035,0.0035387,0.01734,2SEG,1,LIDAR,0.015461299999999999,0.18266000000000002,0.8137526315789473,0.9133,0.8635263157894737
M3213,1e-05,1e-06,0.25,0.0,0.04,0.0035365,0.01878,2SEG,1,LIDAR,0.0154635,0.18122000000000002,0.8138684210526316,0.9061,0.8599842105263158
M3214,1e-05,1e-06,0.25,0.0,0.05,0.0035325,0.02146,2SEG,1,LIDAR,0.015467499999999999,0.17854,0.814078947368421,0.8926999999999999,0.8533894736842105
M3215,1e-05,1e-06,0.25,0.0,0.08,0.003522,0.0284,2SEG,1,LIDAR,0.015477999999999999,0.1716,0.8146315789473684,0.858,0.8363157894736841
M3216,1e-05,1e-06,0.25,0.25,0.03,0.0035416,0.01479,2SEG,1,LIDAR,0.015458399999999999,0.18521,0.8136,0.92605,0.8698250000000001
