model,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M3167,1e-05,1e-06,-0.25,0.25,0.03,0.0040689,0.02453,nSEG,1,LIDAR,0.0149311,0.17547000000000001,0.7858473684210526,0.8773500000000001,0.8315986842105263
M3168,1e-05,1e-06,-0.25,0.25,0.035,0.0040659,0.0269,nSEG,1,LIDAR,0.014934099999999999,0.1731,0.7860052631578947,0.8654999999999999,0.8257526315789473
M3169,1e-05,1e-06,-0.25,0.25,0.04,0.0040631,0.02913,nSEG,1,LIDAR,0.0149369,0.17087000000000002,0.7861526315789473,0.85435,0.8202513157894737
M3170,1e-05,1e-06,-0.25,0.25,0.05,0.004058,0.03328,nSEG,1,LIDAR,0.014942,0.16672,0.786421052631579,0.8336,0.8100105263157895
M3171,1e-05,1e-06,-0.25,0.5,0.02,0.004076,0.01823,nSEG,1,LIDAR,0.014924,0.18177000000000001,0.7854736842105263,0.90885,0.8471618421052631
M3172,1e-05,1e-06,-0.25,0.5,0.03,0.0040696,0.02323,nSEG,1,LIDAR,0.0149304,0.17677,0.7858105263157895,0.88385,0.8348302631578948
M3173,1e-05,1e-06,-0.25,0.5,0.035,0.0040668,0.02547,nSEG,1,LIDAR,0.0149332,0.17453000000000002,0.7859578947368422,0.87265,0.8293039473684212
M3174,1e-05,1e-06,-0.25,0.5,0.04,0.0040641,0.02758,nSEG,1,LIDAR,0.014935899999999998,0.17242000000000002,0.7860999999999999,0.8621000000000001,0.8241
M3175,1e-05,1e-06,-0.25,0.5,0.05,0.004059,0.03151,nSEG,1,LIDAR,0.014941,0.16849,0.7863684210526316,0.8424499999999999,0.8144092105263158
M3176,1e-05,1e-06,0.0,-0.5,0.02,0.0040729,0.02533,nSEG,1,LIDAR,0.014927099999999999,0.17467000000000002,0.7856368421052631,0.8733500000000001,0.8294934210526316
M3177,1e-05,1e-06,0.0,-0.5,0.03,0.0040656,0.03228,nSEG,1,LIDAR,0.0149344,0.16772,0.786021052631579,0.8386,0.8123105263157895
