model,package,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M6689,SFR,1.00E-05,5.50E-05,0,0,0.05,0.051287,0.1629,nSEG,1,LIDAR,-0.032287,0.0371,1.699315789,0.1855,0.942407895
M6690,SFR,1.00E-05,5.50E-05,0,0,0.08,0.050814,0.2148,nSEG,1,LIDAR,-0.031814,-0.0148,1.674421053,0.074,0.874210526
M6691,SFR,1.00E-05,5.50E-05,0,0.25,0.03,0.051717,0.1127,nSEG,1,LIDAR,-0.032717,0.0873,1.721947368,0.4365,1.079223684
M6692,SFR,1.00E-05,5.50E-05,0,0.25,0.035,0.051626,0.1235,nSEG,1,LIDAR,-0.032626,0.0765,1.717157895,0.3825,1.049828947
M6693,SFR,1.00E-05,5.50E-05,0,0.25,0.04,0.05154,0.1337,nSEG,1,LIDAR,-0.03254,0.0663,1.712631579,0.3315,1.022065789
M6694,SFR,1.00E-05,5.50E-05,0,0.25,0.05,0.051377,0.1525,nSEG,1,LIDAR,-0.032377,0.0475,1.704052632,0.2375,0.970776316
M6695,SFR,1.00E-05,5.50E-05,0,0.25,0.08,0.05094,0.2012,nSEG,1,LIDAR,-0.03194,-0.0012,1.681052632,0.006,0.843526316
M6696,SFR,1.00E-05,5.50E-05,0,0.5,0.03,0.051765,0.1068,nSEG,1,LIDAR,-0.032765,0.0932,1.724473684,0.466,1.095236842
M6697,SFR,1.00E-05,5.50E-05,0,0.5,0.035,0.05168,0.117,nSEG,1,LIDAR,-0.03268,0.083,1.72,0.415,1.0675
M6698,SFR,1.00E-05,5.50E-05,0,0.5,0.04,0.051599,0.1267,nSEG,1,LIDAR,-0.032599,0.0733,1.715736842,0.3665,1.041118421
M6699,SFR,1.00E-05,5.50E-05,0,0.5,0.05,0.051446,0.1445,nSEG,1,LIDAR,-0.032446,0.0555,1.707684211,0.2775,0.992592105
M6700,SFR,1.00E-05,5.50E-05,0,0.5,0.08,0.051035,0.1907,nSEG,1,LIDAR,-0.032035,0.0093,1.686052632,0.0465,0.866276316
M6701,SFR,1.00E-05,5.50E-05,0.25,-0.5,0.03,0.051421,0.1479,nSEG,1,LIDAR,-0.032421,0.0521,1.706368421,0.2605,0.983434211
M6702,SFR,1.00E-05,5.50E-05,0.25,-0.5,0.035,0.051298,0.162,nSEG,1,LIDAR,-0.032298,0.038,1.699894737,0.19,0.944947368
M6703,SFR,1.00E-05,5.50E-05,0.25,-0.5,0.04,0.051181,0.1753,nSEG,1,LIDAR,-0.032181,0.0247,1.693736842,0.1235,0.908618421
M6704,SFR,1.00E-05,5.50E-05,0.25,-0.5,0.05,0.050958,0.1998,nSEG,1,LIDAR,-0.031958,0.0002,1.682,0.001,0.8415
M6705,SFR,1.00E-05,5.50E-05,0.25,-0.5,0.08,0.050355,0.2631,nSEG,1,LIDAR,-0.031355,-0.0631,1.650263158,0.3155,0.982881579
M6706,SFR,1.00E-05,5.50E-05,0.25,-0.25,0.03,0.051564,0.1312,nSEG,1,LIDAR,-0.032564,0.0688,1.713894737,0.344,1.028947368
M6707,SFR,1.00E-05,5.50E-05,0.25,-0.25,0.035,0.051456,0.1437,nSEG,1,LIDAR,-0.032456,0.0563,1.708210526,0.2815,0.994855263
M6708,SFR,1.00E-05,5.50E-05,0.25,-0.25,0.04,0.051354,0.1555,nSEG,1,LIDAR,-0.032354,0.0445,1.702842105,0.2225,0.962671053
M6709,SFR,1.00E-05,5.50E-05,0.25,-0.25,0.05,0.05116,0.1774,nSEG,1,LIDAR,-0.03216,0.0226,1.692631579,0.113,0.902815789
M6710,SFR,1.00E-05,5.50E-05,0.25,-0.25,0.08,0.050639,0.2337,nSEG,1,LIDAR,-0.031639,-0.0337,1.665210526,0.1685,0.916855263
M6711,SFR,1.00E-05,5.50E-05,0.25,0,0.03,0.051654,0.1204,nSEG,1,LIDAR,-0.032654,0.0796,1.718631579,0.398,1.058315789
M6712,SFR,1.00E-05,5.50E-05,0.25,0,0.035,0.051556,0.132,nSEG,1,LIDAR,-0.032556,0.068,1.713473684,0.34,1.026736842
M6713,SFR,1.00E-05,5.50E-05,0.25,0,0.04,0.051463,0.1428,nSEG,1,LIDAR,-0.032463,0.0572,1.708578947,0.286,0.997289474
M6714,SFR,1.00E-05,5.50E-05,0.25,0,0.05,0.051287,0.1629,nSEG,1,LIDAR,-0.032287,0.0371,1.699315789,0.1855,0.942407895
M6715,SFR,1.00E-05,5.50E-05,0.25,0,0.08,0.050815,0.2148,nSEG,1,LIDAR,-0.031815,-0.0148,1.674473684,0.074,0.874236842
M6716,SFR,1.00E-05,5.50E-05,0.25,0.25,0.03,0.051717,0.1127,nSEG,1,LIDAR,-0.032717,0.0873,1.721947368,0.4365,1.079223684
M6717,SFR,1.00E-05,5.50E-05,0.25,0.25,0.035,0.051627,0.1235,nSEG,1,LIDAR,-0.032627,0.0765,1.717210526,0.3825,1.049855263
M6718,SFR,1.00E-05,5.50E-05,0.25,0.25,0.04,0.051541,0.1337,nSEG,1,LIDAR,-0.032541,0.0663,1.712684211,0.3315,1.022092105
M6719,SFR,1.00E-05,5.50E-05,0.25,0.25,0.05,0.051378,0.1525,nSEG,1,LIDAR,-0.032378,0.0475,1.704105263,0.2375,0.970802632
M6720,SFR,1.00E-05,5.50E-05,0.25,0.25,0.08,0.050941,0.2012,nSEG,1,LIDAR,-0.031941,-0.0012,1.681105263,0.006,0.843552632
M6721,SFR,1.00E-05,5.50E-05,0.25,0.5,0.03,0.051766,0.1068,nSEG,1,LIDAR,-0.032766,0.0932,1.724526316,0.466,1.095263158
M6722,SFR,1.00E-05,5.50E-05,0.25,0.5,0.035,0.051681,0.117,nSEG,1,LIDAR,-0.032681,0.083,1.720052632,0.415,1.067526316
M6723,SFR,1.00E-05,5.50E-05,0.25,0.5,0.04,0.0516,0.1267,nSEG,1,LIDAR,-0.0326,0.0733,1.715789474,0.3665,1.041144737
M6724,SFR,1.00E-05,5.50E-05,0.25,0.5,0.05,0.051446,0.1445,nSEG,1,LIDAR,-0.032446,0.0555,1.707684211,0.2775,0.992592105
M6725,SFR,1.00E-05,5.50E-05,0.25,0.5,0.08,0.051036,0.1907,nSEG,1,LIDAR,-0.032036,0.0093,1.686105263,0.0465,0.866302632
M6726,SFR,1.00E-05,5.50E-05,0.5,-0.5,0.03,0.051422,0.1479,nSEG,1,LIDAR,-0.032422,0.0521,1.706421053,0.2605,0.983460526
M6727,SFR,1.00E-05,5.50E-05,0.5,-0.5,0.035,0.051299,0.162,nSEG,1,LIDAR,-0.032299,0.038,1.699947368,0.19,0.944973684
M6728,SFR,1.00E-05,5.50E-05,0.5,-0.5,0.04,0.051181,0.1753,nSEG,1,LIDAR,-0.032181,0.0247,1.693736842,0.1235,0.908618421
M6729,SFR,1.00E-05,5.50E-05,0.5,-0.5,0.05,0.050958,0.1998,nSEG,1,LIDAR,-0.031958,0.0002,1.682,0.001,0.8415
M6730,SFR,1.00E-05,5.50E-05,0.5,-0.5,0.08,0.050356,0.2631,nSEG,1,LIDAR,-0.031356,-0.0631,1.650315789,0.3155,0.982907895
M6731,SFR,1.00E-05,5.50E-05,0.5,-0.25,0.03,0.051564,0.1312,nSEG,1,LIDAR,-0.032564,0.0688,1.713894737,0.344,1.028947368
M6732,SFR,1.00E-05,5.50E-05,0.5,-0.25,0.035,0.051457,0.1437,nSEG,1,LIDAR,-0.032457,0.0563,1.708263158,0.2815,0.994881579
M6733,SFR,1.00E-05,5.50E-05,0.5,-0.25,0.04,0.051354,0.1555,nSEG,1,LIDAR,-0.032354,0.0445,1.702842105,0.2225,0.962671053
M6734,SFR,1.00E-05,5.50E-05,0.5,-0.25,0.05,0.051161,0.1774,nSEG,1,LIDAR,-0.032161,0.0226,1.692684211,0.113,0.902842105
M6735,SFR,1.00E-05,5.50E-05,0.5,-0.25,0.08,0.050639,0.2337,nSEG,1,LIDAR,-0.031639,-0.0337,1.665210526,0.1685,0.916855263
M6736,SFR,1.00E-05,5.50E-05,0.5,0,0.03,0.051654,0.1204,nSEG,1,LIDAR,-0.032654,0.0796,1.718631579,0.398,1.058315789
M6737,SFR,1.00E-05,5.50E-05,0.5,0,0.035,0.051557,0.132,nSEG,1,LIDAR,-0.032557,0.068,1.713526316,0.34,1.026763158
M6738,SFR,1.00E-05,5.50E-05,0.5,0,0.04,0.051464,0.1428,nSEG,1,LIDAR,-0.032464,0.0572,1.708631579,0.286,0.997315789
M6739,SFR,1.00E-05,5.50E-05,0.5,0,0.05,0.051288,0.1629,nSEG,1,LIDAR,-0.032288,0.0371,1.699368421,0.1855,0.942434211
M6740,SFR,1.00E-05,5.50E-05,0.5,0,0.08,0.050816,0.2148,nSEG,1,LIDAR,-0.031816,-0.0148,1.674526316,0.074,0.874263158
M6741,SFR,1.00E-05,5.50E-05,0.5,0.25,0.03,0.051718,0.1127,nSEG,1,LIDAR,-0.032718,0.0873,1.722,0.4365,1.07925
M6742,SFR,1.00E-05,5.50E-05,0.5,0.25,0.035,0.051628,0.1235,nSEG,1,LIDAR,-0.032628,0.0765,1.717263158,0.3825,1.049881579
M6743,SFR,1.00E-05,5.50E-05,0.5,0.25,0.04,0.051541,0.1337,nSEG,1,LIDAR,-0.032541,0.0663,1.712684211,0.3315,1.022092105
M6744,SFR,1.00E-05,5.50E-05,0.5,0.25,0.05,0.051378,0.1526,nSEG,1,LIDAR,-0.032378,0.0474,1.704105263,0.237,0.970552632
M6745,SFR,1.00E-05,5.50E-05,0.5,0.25,0.08,0.050942,0.2012,nSEG,1,LIDAR,-0.031942,-0.0012,1.681157895,0.006,0.843578947
M6746,SFR,1.00E-05,5.50E-05,0.5,0.5,0.03,0.051767,0.1068,nSEG,1,LIDAR,-0.032767,0.0932,1.724578947,0.466,1.095289474
M6747,SFR,1.00E-05,5.50E-05,0.5,0.5,0.035,0.051682,0.117,nSEG,1,LIDAR,-0.032682,0.083,1.720105263,0.415,1.067552632
M6748,SFR,1.00E-05,5.50E-05,0.5,0.5,0.04,0.0516,0.1267,nSEG,1,LIDAR,-0.0326,0.0733,1.715789474,0.3665,1.041144737
M6749,SFR,1.00E-05,5.50E-05,0.5,0.5,0.05,0.051447,0.1445,nSEG,1,LIDAR,-0.032447,0.0555,1.707736842,0.2775,0.992618421
M6750,SFR,1.00E-05,5.50E-05,0.5,0.5,0.08,0.051037,0.1907,nSEG,1,LIDAR,-0.032037,0.0093,1.686157895,0.0465,0.866328947
M6751,SFR,1.00E-05,0.0001,-0.5,-0.5,0.03,0.077165,0.1887,nSEG,1,LIDAR,-0.058165,0.0113,3.061315789,0.0565,1.558907895
M6752,SFR,1.00E-05,0.0001,-0.5,-0.5,0.035,0.076991,0.2067,nSEG,1,LIDAR,-0.057991,-0.0067,3.052157895,0.0335,1.542828947
M6753,SFR,1.00E-05,0.0001,-0.5,-0.5,0.04,0.076874,0.2237,nSEG,1,LIDAR,-0.057874,-0.0237,3.046,0.1185,1.58225
M6754,SFR,1.00E-05,0.0001,-0.5,-0.5,0.05,0.076624,0.2553,nSEG,1,LIDAR,-0.057624,-0.0553,3.032842105,0.2765,1.654671053
M6755,SFR,1.00E-05,0.0001,-0.5,-0.5,0.08,0.075917,0.3366,nSEG,1,LIDAR,-0.056917,-0.1366,2.995631579,0.683,1.839315789
M6756,SFR,1.00E-05,0.0001,-0.5,-0.25,0.03,0.077267,0.1672,nSEG,1,LIDAR,-0.058267,0.0328,3.066684211,0.164,1.615342105
M6757,SFR,1.00E-05,0.0001,-0.5,-0.25,0.035,0.07719,0.1833,nSEG,1,LIDAR,-0.05819,0.0167,3.062631579,0.0835,1.573065789
M6758,SFR,1.00E-05,0.0001,-0.5,-0.25,0.04,0.077042,0.1983,nSEG,1,LIDAR,-0.058042,0.0017,3.054842105,0.0085,1.531671053
M6759,SFR,1.00E-05,0.0001,-0.5,-0.25,0.05,0.076836,0.2264,nSEG,1,LIDAR,-0.057836,-0.0264,3.044,0.132,1.588
M6760,SFR,1.00E-05,0.0001,-0.5,-0.25,0.08,0.076261,0.2989,nSEG,1,LIDAR,-0.057261,-0.0989,3.013736842,0.4945,1.754118421
M6761,SFR,1.00E-05,0.0001,-0.5,0,0.03,0.077331,0.1534,nSEG,1,LIDAR,-0.058331,0.0466,3.070052632,0.233,1.651526316
M6762,SFR,1.00E-05,0.0001,-0.5,0,0.035,0.077262,0.1682,nSEG,1,LIDAR,-0.058262,0.0318,3.066421053,0.159,1.612710526
M6763,SFR,1.00E-05,0.0001,-0.5,0,0.04,0.077195,0.1822,nSEG,1,LIDAR,-0.058195,0.0178,3.062894737,0.089,1.575947368
M6764,SFR,1.00E-05,0.0001,-0.5,0,0.05,0.076981,0.2079,nSEG,1,LIDAR,-0.057981,-0.0079,3.051631579,0.0395,1.545565789
M6765,SFR,1.00E-05,0.0001,-0.5,0,0.08,0.076467,0.2746,nSEG,1,LIDAR,-0.057467,-0.0746,3.024578947,0.373,1.698789474
M6766,SFR,1.00E-05,0.0001,-0.5,0.25,0.03,0.077374,0.1435,nSEG,1,LIDAR,-0.058374,0.0565,3.072315789,0.2825,1.677407895
M6767,SFR,1.00E-05,0.0001,-0.5,0.25,0.035,0.077312,0.1574,nSEG,1,LIDAR,-0.058312,0.0426,3.069052632,0.213,1.641026316
M6768,SFR,1.00E-05,0.0001,-0.5,0.25,0.04,0.077251,0.1704,nSEG,1,LIDAR,-0.058251,0.0296,3.065842105,0.148,1.606921053
M6769,SFR,1.00E-05,0.0001,-0.5,0.25,0.05,0.077131,0.1947,nSEG,1,LIDAR,-0.058131,0.0053,3.059526316,0.0265,1.543013158
M6770,SFR,1.00E-05,0.0001,-0.5,0.25,0.08,0.076606,0.2571,nSEG,1,LIDAR,-0.057606,-0.0571,3.031894737,0.2855,1.658697368
M6771,SFR,1.00E-05,0.0001,-0.5,0.5,0.03,0.077406,0.1359,nSEG,1,LIDAR,-0.058406,0.0641,3.074,0.3205,1.69725
M6772,SFR,1.00E-05,0.0001,-0.5,0.5,0.035,0.077349,0.149,nSEG,1,LIDAR,-0.058349,0.051,3.071,0.255,1.663
M6773,SFR,1.00E-05,0.0001,-0.5,0.5,0.04,0.077292,0.1614,nSEG,1,LIDAR,-0.058292,0.0386,3.068,0.193,1.6305
M6774,SFR,1.00E-05,0.0001,-0.5,0.5,0.05,0.077182,0.1844,nSEG,1,LIDAR,-0.058182,0.0156,3.062210526,0.078,1.570105263
M6775,SFR,1.00E-05,0.0001,-0.5,0.5,0.08,0.076708,0.2436,nSEG,1,LIDAR,-0.057708,-0.0436,3.037263158,0.218,1.627631579
M6776,SFR,1.00E-05,0.0001,-0.25,-0.5,0.03,0.077166,0.1887,nSEG,1,LIDAR,-0.058166,0.0113,3.061368421,0.0565,1.558934211
M6777,SFR,1.00E-05,0.0001,-0.25,-0.5,0.035,0.076993,0.2067,nSEG,1,LIDAR,-0.057993,-0.0067,3.052263158,0.0335,1.542881579
M6778,SFR,1.00E-05,0.0001,-0.25,-0.5,0.04,0.076875,0.2237,nSEG,1,LIDAR,-0.057875,-0.0237,3.046052632,0.1185,1.582276316
M6779,SFR,1.00E-05,0.0001,-0.25,-0.5,0.05,0.076626,0.2553,nSEG,1,LIDAR,-0.057626,-0.0553,3.032947368,0.2765,1.654723684
M6780,SFR,1.00E-05,0.0001,-0.25,-0.5,0.08,0.075919,0.3366,nSEG,1,LIDAR,-0.056919,-0.1366,2.995736842,0.683,1.839368421
M6781,SFR,1.00E-05,0.0001,-0.25,-0.25,0.03,0.077268,0.1672,nSEG,1,LIDAR,-0.058268,0.0328,3.066736842,0.164,1.615368421
M6782,SFR,1.00E-05,0.0001,-0.25,-0.25,0.035,0.077191,0.1833,nSEG,1,LIDAR,-0.058191,0.0167,3.062684211,0.0835,1.573092105
M6783,SFR,1.00E-05,0.0001,-0.25,-0.25,0.04,0.077044,0.1983,nSEG,1,LIDAR,-0.058044,0.0017,3.054947368,0.0085,1.531723684
M6784,SFR,1.00E-05,0.0001,-0.25,-0.25,0.05,0.076837,0.2264,nSEG,1,LIDAR,-0.057837,-0.0264,3.044052632,0.132,1.588026316
M6785,SFR,1.00E-05,0.0001,-0.25,-0.25,0.08,0.076263,0.2989,nSEG,1,LIDAR,-0.057263,-0.0989,3.013842105,0.4945,1.754171053
M6786,SFR,1.00E-05,0.0001,-0.25,0,0.03,0.077332,0.1534,nSEG,1,LIDAR,-0.058332,0.0466,3.070105263,0.233,1.651552632
M6787,SFR,1.00E-05,0.0001,-0.25,0,0.035,0.077263,0.1682,nSEG,1,LIDAR,-0.058263,0.0318,3.066473684,0.159,1.612736842
M6788,SFR,1.00E-05,0.0001,-0.25,0,0.04,0.077196,0.1822,nSEG,1,LIDAR,-0.058196,0.0178,3.062947368,0.089,1.575973684
M6789,SFR,1.00E-05,0.0001,-0.25,0,0.05,0.076982,0.2079,nSEG,1,LIDAR,-0.057982,-0.0079,3.051684211,0.0395,1.545592105
M6790,SFR,1.00E-05,0.0001,-0.25,0,0.08,0.076469,0.2746,nSEG,1,LIDAR,-0.057469,-0.0746,3.024684211,0.373,1.698842105
M6791,SFR,1.00E-05,0.0001,-0.25,0.25,0.03,0.077375,0.1435,nSEG,1,LIDAR,-0.058375,0.0565,3.072368421,0.2825,1.677434211
M6792,SFR,1.00E-05,0.0001,-0.25,0.25,0.035,0.077313,0.1574,nSEG,1,LIDAR,-0.058313,0.0426,3.069105263,0.213,1.641052632
M6793,SFR,1.00E-05,0.0001,-0.25,0.25,0.04,0.077252,0.1704,nSEG,1,LIDAR,-0.058252,0.0296,3.065894737,0.148,1.606947368
M6794,SFR,1.00E-05,0.0001,-0.25,0.25,0.05,0.077132,0.1947,nSEG,1,LIDAR,-0.058132,0.0053,3.059578947,0.0265,1.543039474
M6795,SFR,1.00E-05,0.0001,-0.25,0.25,0.08,0.076608,0.2571,nSEG,1,LIDAR,-0.057608,-0.0571,3.032,0.2855,1.65875
M6796,SFR,1.00E-05,0.0001,-0.25,0.5,0.03,0.077407,0.1359,nSEG,1,LIDAR,-0.058407,0.0641,3.074052632,0.3205,1.697276316
M6797,SFR,1.00E-05,0.0001,-0.25,0.5,0.035,0.07735,0.149,nSEG,1,LIDAR,-0.05835,0.051,3.071052632,0.255,1.663026316
M6798,SFR,1.00E-05,0.0001,-0.25,0.5,0.04,0.077293,0.1614,nSEG,1,LIDAR,-0.058293,0.0386,3.068052632,0.193,1.630526316
M6799,SFR,1.00E-05,0.0001,-0.25,0.5,0.05,0.077184,0.1844,nSEG,1,LIDAR,-0.058184,0.0156,3.062315789,0.078,1.570157895
M6800,SFR,1.00E-05,0.0001,-0.25,0.5,0.08,0.07671,0.2436,nSEG,1,LIDAR,-0.05771,-0.0436,3.037368421,0.218,1.627684211
M6801,SFR,1.00E-05,0.0001,0,-0.5,0.03,0.077166,0.1887,nSEG,1,LIDAR,-0.058166,0.0113,3.061368421,0.0565,1.558934211
M6802,SFR,1.00E-05,0.0001,0,-0.5,0.035,0.076993,0.2067,nSEG,1,LIDAR,-0.057993,-0.0067,3.052263158,0.0335,1.542881579
M6803,SFR,1.00E-05,0.0001,0,-0.5,0.04,0.076876,0.2237,nSEG,1,LIDAR,-0.057876,-0.0237,3.046105263,0.1185,1.582302632
M6804,SFR,1.00E-05,0.0001,0,-0.5,0.05,0.076627,0.2553,nSEG,1,LIDAR,-0.057627,-0.0553,3.033,0.2765,1.65475
M6805,SFR,1.00E-05,0.0001,0,-0.5,0.08,0.07592,0.3366,nSEG,1,LIDAR,-0.05692,-0.1366,2.995789474,0.683,1.839394737
M6806,SFR,1.00E-05,0.0001,0,-0.25,0.03,0.077269,0.1672,nSEG,1,LIDAR,-0.058269,0.0328,3.066789474,0.164,1.615394737
M6807,SFR,1.00E-05,0.0001,0,-0.25,0.035,0.077192,0.1833,nSEG,1,LIDAR,-0.058192,0.0167,3.062736842,0.0835,1.573118421
M6808,SFR,1.00E-05,0.0001,0,-0.25,0.04,0.077045,0.1984,nSEG,1,LIDAR,-0.058045,0.0016,3.055,0.008,1.5315
M6809,SFR,1.00E-05,0.0001,0,-0.25,0.05,0.076838,0.2264,nSEG,1,LIDAR,-0.057838,-0.0264,3.044105263,0.132,1.588052632
M6810,SFR,1.00E-05,0.0001,0,-0.25,0.08,0.076265,0.2989,nSEG,1,LIDAR,-0.057265,-0.0989,3.013947368,0.4945,1.754223684
M6811,SFR,1.00E-05,0.0001,0,0,0.03,0.077332,0.1534,nSEG,1,LIDAR,-0.058332,0.0466,3.070105263,0.233,1.651552632
M6812,SFR,1.00E-05,0.0001,0,0,0.035,0.077264,0.1682,nSEG,1,LIDAR,-0.058264,0.0318,3.066526316,0.159,1.612763158
M6813,SFR,1.00E-05,0.0001,0,0,0.04,0.077197,0.1822,nSEG,1,LIDAR,-0.058197,0.0178,3.063,0.089,1.576
M6814,SFR,1.00E-05,0.0001,0,0,0.05,0.076983,0.2079,nSEG,1,LIDAR,-0.057983,-0.0079,3.051736842,0.0395,1.545618421
M6815,SFR,1.00E-05,0.0001,0,0,0.08,0.07647,0.2746,nSEG,1,LIDAR,-0.05747,-0.0746,3.024736842,0.373,1.698868421
M6816,SFR,1.00E-05,0.0001,0,0.25,0.03,0.077375,0.1435,nSEG,1,LIDAR,-0.058375,0.0565,3.072368421,0.2825,1.677434211
M6817,SFR,1.00E-05,0.0001,0,0.25,0.035,0.077314,0.1574,nSEG,1,LIDAR,-0.058314,0.0426,3.069157895,0.213,1.641078947
M6818,SFR,1.00E-05,0.0001,0,0.25,0.04,0.077253,0.1704,nSEG,1,LIDAR,-0.058253,0.0296,3.065947368,0.148,1.606973684
M6819,SFR,1.00E-05,0.0001,0,0.25,0.05,0.077133,0.1947,nSEG,1,LIDAR,-0.058133,0.0053,3.059631579,0.0265,1.543065789
M6820,SFR,1.00E-05,0.0001,0,0.25,0.08,0.076609,0.2571,nSEG,1,LIDAR,-0.057609,-0.0571,3.032052632,0.2855,1.658776316
M6821,SFR,1.00E-05,0.0001,0,0.5,0.03,0.077407,0.1359,nSEG,1,LIDAR,-0.058407,0.0641,3.074052632,0.3205,1.697276316
M6822,SFR,1.00E-05,0.0001,0,0.5,0.035,0.077351,0.149,nSEG,1,LIDAR,-0.058351,0.051,3.071105263,0.255,1.663052632
M6823,SFR,1.00E-05,0.0001,0,0.5,0.04,0.077294,0.1614,nSEG,1,LIDAR,-0.058294,0.0386,3.068105263,0.193,1.630552632
M6824,SFR,1.00E-05,0.0001,0,0.5,0.05,0.077185,0.1844,nSEG,1,LIDAR,-0.058185,0.0156,3.062368421,0.078,1.570184211
M6825,SFR,1.00E-05,0.0001,0,0.5,0.08,0.076711,0.2436,nSEG,1,LIDAR,-0.057711,-0.0436,3.037421053,0.218,1.627710526
M6826,SFR,1.00E-05,0.0001,0.25,-0.5,0.03,0.077167,0.1887,nSEG,1,LIDAR,-0.058167,0.0113,3.061421053,0.0565,1.558960526
M6827,SFR,1.00E-05,0.0001,0.25,-0.5,0.035,0.076994,0.2067,nSEG,1,LIDAR,-0.057994,-0.0067,3.052315789,0.0335,1.542907895
M6828,SFR,1.00E-05,0.0001,0.25,-0.5,0.04,0.076877,0.2237,nSEG,1,LIDAR,-0.057877,-0.0237,3.046157895,0.1185,1.582328947
M6829,SFR,1.00E-05,0.0001,0.25,-0.5,0.05,0.076627,0.2553,nSEG,1,LIDAR,-0.057627,-0.0553,3.033,0.2765,1.65475
M6830,SFR,1.00E-05,0.0001,0.25,-0.5,0.08,0.075921,0.3366,nSEG,1,LIDAR,-0.056921,-0.1366,2.995842105,0.683,1.839421053
M6831,SFR,1.00E-05,0.0001,0.25,-0.25,0.03,0.07727,0.1672,nSEG,1,LIDAR,-0.05827,0.0328,3.066842105,0.164,1.615421053
M6832,SFR,1.00E-05,0.0001,0.25,-0.25,0.035,0.077193,0.1833,nSEG,1,LIDAR,-0.058193,0.0167,3.062789474,0.0835,1.573144737
M6833,SFR,1.00E-05,0.0001,0.25,-0.25,0.04,0.077045,0.1984,nSEG,1,LIDAR,-0.058045,0.0016,3.055,0.008,1.5315
M6834,SFR,1.00E-05,0.0001,0.25,-0.25,0.05,0.076839,0.2264,nSEG,1,LIDAR,-0.057839,-0.0264,3.044157895,0.132,1.588078947
M6835,SFR,1.00E-05,0.0001,0.25,-0.25,0.08,0.076266,0.2989,nSEG,1,LIDAR,-0.057266,-0.0989,3.014,0.4945,1.75425
M6836,SFR,1.00E-05,0.0001,0.25,0,0.03,0.077333,0.1534,nSEG,1,LIDAR,-0.058333,0.0466,3.070157895,0.233,1.651578947
M6837,SFR,1.00E-05,0.0001,0.25,0,0.035,0.077264,0.1682,nSEG,1,LIDAR,-0.058264,0.0318,3.066526316,0.159,1.612763158
M6838,SFR,1.00E-05,0.0001,0.25,0,0.04,0.077197,0.1822,nSEG,1,LIDAR,-0.058197,0.0178,3.063,0.089,1.576
M6839,SFR,1.00E-05,0.0001,0.25,0,0.05,0.076984,0.2079,nSEG,1,LIDAR,-0.057984,-0.0079,3.051789474,0.0395,1.545644737
M6840,SFR,1.00E-05,0.0001,0.25,0,0.08,0.076471,0.2746,nSEG,1,LIDAR,-0.057471,-0.0746,3.024789474,0.373,1.698894737
M6841,SFR,1.00E-05,0.0001,0.25,0.25,0.03,0.077376,0.1435,nSEG,1,LIDAR,-0.058376,0.0565,3.072421053,0.2825,1.677460526
M6842,SFR,1.00E-05,0.0001,0.25,0.25,0.035,0.077315,0.1574,nSEG,1,LIDAR,-0.058315,0.0426,3.069210526,0.213,1.641105263
M6843,SFR,1.00E-05,0.0001,0.25,0.25,0.04,0.077253,0.1704,nSEG,1,LIDAR,-0.058253,0.0296,3.065947368,0.148,1.606973684
M6844,SFR,1.00E-05,0.0001,0.25,0.25,0.05,0.077134,0.1947,nSEG,1,LIDAR,-0.058134,0.0053,3.059684211,0.0265,1.543092105
M6845,SFR,1.00E-05,0.0001,0.25,0.25,0.08,0.07661,0.2571,nSEG,1,LIDAR,-0.05761,-0.0571,3.032105263,0.2855,1.658802632
M6846,SFR,1.00E-05,0.0001,0.25,0.5,0.03,0.077408,0.1359,nSEG,1,LIDAR,-0.058408,0.0641,3.074105263,0.3205,1.697302632
M6847,SFR,1.00E-05,0.0001,0.25,0.5,0.035,0.077352,0.1491,nSEG,1,LIDAR,-0.058352,0.0509,3.071157895,0.2545,1.662828947
M6848,SFR,1.00E-05,0.0001,0.25,0.5,0.04,0.077295,0.1614,nSEG,1,LIDAR,-0.058295,0.0386,3.068157895,0.193,1.630578947
M6849,SFR,1.00E-05,0.0001,0.25,0.5,0.05,0.077185,0.1844,nSEG,1,LIDAR,-0.058185,0.0156,3.062368421,0.078,1.570184211
M6850,SFR,1.00E-05,0.0001,0.25,0.5,0.08,0.076712,0.2436,nSEG,1,LIDAR,-0.057712,-0.0436,3.037473684,0.218,1.627736842
M6851,SFR,1.00E-05,0.0001,0.5,-0.5,0.03,0.077167,0.1887,nSEG,1,LIDAR,-0.058167,0.0113,3.061421053,0.0565,1.558960526
M6852,SFR,1.00E-05,0.0001,0.5,-0.5,0.035,0.076994,0.2067,nSEG,1,LIDAR,-0.057994,-0.0067,3.052315789,0.0335,1.542907895
M6853,SFR,1.00E-05,0.0001,0.5,-0.5,0.04,0.076877,0.2237,nSEG,1,LIDAR,-0.057877,-0.0237,3.046157895,0.1185,1.582328947
M6854,SFR,1.00E-05,0.0001,0.5,-0.5,0.05,0.076628,0.2553,nSEG,1,LIDAR,-0.057628,-0.0553,3.033052632,0.2765,1.654776316
M6855,SFR,1.00E-05,0.0001,0.5,-0.5,0.08,0.075922,0.3366,nSEG,1,LIDAR,-0.056922,-0.1366,2.995894737,0.683,1.839447368
