model,package,kt,ka,st_coeff,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M117,LAK+SFR,1.00E-05,0.0001,,0.25,0.035,0.065815,0.1429,nSEG,1,GNSS,-0.046815,0.0571,2.463947368,0.2855,1.374723684
M118,LAK+SFR,1.00E-05,0.0001,,0.25,0.04,0.065749,0.1547,nSEG,1,GNSS,-0.046749,0.0453,2.460473684,0.2265,1.343486842
M119,LAK+SFR,1.00E-05,0.0001,,0.25,0.05,0.06564,0.1767,nSEG,1,GNSS,-0.04664,0.0233,2.454736842,0.1165,1.285618421
M120,LAK+SFR,1.00E-05,0.0001,,0.25,0.08,0.06529,0.2336,nSEG,1,GNSS,-0.04629,-0.0336,2.436315789,0.168,1.302157895
M121,LAK+SFR,1.00E-05,0.0001,,0.5,0.03,0.065881,0.1235,nSEG,1,GNSS,-0.046881,0.0765,2.467421053,0.3825,1.424960526
M122,LAK+SFR,1.00E-05,0.0001,,0.5,0.035,0.065892,0.1353,nSEG,1,GNSS,-0.046892,0.0647,2.468,0.3235,1.39575
M123,LAK+SFR,1.00E-05,0.0001,,0.5,0.04,0.06579,0.1465,nSEG,1,GNSS,-0.04679,0.0535,2.462631579,0.2675,1.365065789
M124,LAK+SFR,1.00E-05,0.0001,,0.5,0.05,0.065682,0.1673,nSEG,1,GNSS,-0.046682,0.0327,2.456947368,0.1635,1.310223684
M125,LAK+SFR,1.00E-05,0.0001,,0.5,0.08,0.065364,0.2213,nSEG,1,GNSS,-0.046364,-0.0213,2.440210526,0.1065,1.273355263
M126,LAK+SFR,5.50E-05,1.00E-06,,-0.5,0.03,0.037272,0.1227,nSEG,1,GNSS,-0.018272,0.0773,0.961684211,0.3865,0.674092105
M127,LAK+SFR,5.50E-05,1.00E-06,,-0.5,0.035,0.037123,0.1344,nSEG,1,GNSS,-0.018123,0.0656,0.953842105,0.328,0.640921053
M128,LAK+SFR,5.50E-05,1.00E-06,,-0.5,0.04,0.036898,0.1449,nSEG,1,GNSS,-0.017898,0.0551,0.942,0.2755,0.60875
M129,LAK+SFR,5.50E-05,1.00E-06,,-0.5,0.05,0.036299,0.1644,nSEG,1,GNSS,-0.017299,0.0356,0.910473684,0.178,0.544236842
M130,LAK+SFR,5.50E-05,1.00E-06,,-0.5,0.08,0.035724,0.2159,nSEG,1,GNSS,-0.016724,-0.0159,0.880210526,0.0795,0.479855263
M131,LAK+SFR,5.50E-05,1.00E-06,,-0.25,0.03,0.037504,0.1094,nSEG,1,GNSS,-0.018504,0.0906,0.973894737,0.453,0.713447368
M132,LAK+SFR,5.50E-05,1.00E-06,,-0.25,0.035,0.037287,0.1192,nSEG,1,GNSS,-0.018287,0.0808,0.962473684,0.404,0.683236842
M133,LAK+SFR,5.50E-05,1.00E-06,,-0.25,0.04,0.037161,0.129,nSEG,1,GNSS,-0.018161,0.071,0.955842105,0.355,0.655421053
M134,LAK+SFR,5.50E-05,1.00E-06,,-0.25,0.05,0.036757,0.1462,nSEG,1,GNSS,-0.017757,0.0538,0.934578947,0.269,0.601789474
M135,LAK+SFR,5.50E-05,1.00E-06,,-0.25,0.08,0.035972,0.1919,nSEG,1,GNSS,-0.016972,0.0081,0.893263158,0.0405,0.466881579
M136,LAK+SFR,5.50E-05,1.00E-06,,0,0.03,0.037556,0.1003,nSEG,1,GNSS,-0.018556,0.0997,0.976631579,0.4985,0.737565789
M137,LAK+SFR,5.50E-05,1.00E-06,,0,0.035,0.037467,0.11,nSEG,1,GNSS,-0.018467,0.09,0.971947368,0.45,0.710973684
M138,LAK+SFR,5.50E-05,1.00E-06,,0,0.04,0.037266,0.1184,nSEG,1,GNSS,-0.018266,0.0816,0.961368421,0.408,0.684684211
M139,LAK+SFR,5.50E-05,1.00E-06,,0,0.05,0.037052,0.1351,nSEG,1,GNSS,-0.018052,0.0649,0.950105263,0.3245,0.637302632
M140,LAK+SFR,5.50E-05,1.00E-06,,0,0.08,0.03611,0.1765,nSEG,1,GNSS,-0.01711,0.0235,0.900526316,0.1175,0.509013158
