row,column,layer,node,Reach,Stage,Conductanc,Width,Length,Thickness,K,Flux_gw
150,108,1,0,100,124.555605,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
150,109,1,0,100,124.555233,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
151,109,1,0,100,124.554845,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
152,109,1,0,100,124.554185,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
152,110,1,0,100,124.553813,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
153,110,1,0,100,124.553357,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
154,110,1,0,100,124.552764,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
154,111,1,0,100,124.552393,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
155,111,1,0,100,124.552121,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
156,111,1,0,100,124.541778,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
157,111,1,0,100,124.532663,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
158,111,1,0,100,124.523548,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
159,111,1,0,100,124.514433,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
160,111,1,0,100,124.505318,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
161,111,1,0,100,124.496203,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
162,111,1,0,100,124.487088,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
163,111,1,0,100,124.477973,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
164,111,1,0,100,124.468858,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
165,111,1,0,100,124.464150,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
166,111,1,0,100,124.461475,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
166,112,1,0,100,124.460489,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
167,112,1,0,100,124.459068,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
168,112,1,0,100,124.457458,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
168,113,1,0,100,124.456472,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
169,113,1,0,100,124.455124,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
170,113,1,0,100,124.453442,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
170,114,1,0,100,124.452455,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
171,114,1,0,100,124.451180,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
172,114,1,0,100,124.449425,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
172,115,1,0,100,124.448439,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
173,115,1,0,100,124.447236,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
174,115,1,0,100,124.445408,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
174,116,1,0,100,124.444422,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
175,116,1,0,100,124.443291,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
176,116,1,0,100,124.441391,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
176,117,1,0,100,124.440405,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
177,117,1,0,100,124.439347,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
178,117,1,0,100,124.437375,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
179,117,1,0,100,124.436388,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
179,118,1,0,100,124.435402,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
180,118,1,0,100,124.433431,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
181,118,1,0,100,124.432372,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
181,119,1,0,100,124.431386,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
182,119,1,0,100,124.429487,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
183,119,1,0,100,124.428355,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
183,120,1,0,100,124.427369,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
184,120,1,0,100,124.425543,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
185,120,1,0,100,124.424338,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
185,121,1,0,100,124.423352,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
186,121,1,0,100,124.421599,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
187,121,1,0,100,124.420321,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
187,122,1,0,100,124.419335,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
188,122,1,0,100,124.417655,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
189,122,1,0,100,124.416305,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
189,123,1,0,100,124.415319,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
190,123,1,0,100,124.413711,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
191,123,1,0,100,124.412288,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
191,124,1,0,100,124.411302,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
192,124,1,0,100,124.409767,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
193,124,1,0,100,124.408271,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
193,125,1,0,100,124.407285,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
194,125,1,0,100,124.405823,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
195,125,1,0,100,124.404254,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
195,126,1,0,100,124.403268,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
196,126,1,0,100,124.401879,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
197,126,1,0,100,124.400238,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
197,127,1,0,100,124.399252,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
198,127,1,0,100,124.397935,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
199,127,1,0,100,124.396221,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
199,128,1,0,100,124.395235,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
200,128,1,0,100,124.393991,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
201,128,1,0,100,124.392204,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
201,129,1,0,100,124.391218,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
202,129,1,0,100,124.390047,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
203,129,1,0,100,124.388187,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
203,130,1,0,100,124.387201,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
204,130,1,0,100,124.386103,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
205,130,1,0,100,124.385058,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
205,131,1,0,100,124.381885,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
206,131,1,0,100,124.380405,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
207,131,1,0,100,124.377531,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
208,131,1,0,100,124.375628,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
208,132,1,0,100,124.374191,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
209,132,1,0,100,124.371784,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
210,132,1,0,100,124.369371,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
210,133,1,0,100,124.367934,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
211,133,1,0,100,124.366036,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
212,133,1,0,100,124.363163,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
213,133,1,0,100,124.361677,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
213,134,1,0,100,124.360240,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
214,134,1,0,100,124.357416,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
215,134,1,0,100,124.355420,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
215,135,1,0,100,124.353983,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
216,135,1,0,100,124.351668,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
217,135,1,0,100,124.349162,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
217,136,1,0,100,124.347726,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
218,136,1,0,100,124.345921,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
219,136,1,0,100,124.343047,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
220,136,1,0,100,124.341468,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
220,137,1,0,100,124.340032,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
221,137,1,0,100,124.337300,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
222,137,1,0,100,124.335211,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
222,138,1,0,100,124.333774,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
223,138,1,0,100,124.331553,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
224,138,1,0,100,124.328954,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
224,139,1,0,100,124.327517,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
225,139,1,0,100,124.325805,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
226,139,1,0,100,124.322932,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
227,139,1,0,100,124.321260,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
227,140,1,0,100,124.319823,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
228,140,1,0,100,124.317184,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
229,140,1,0,100,124.315003,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
229,141,1,0,100,124.313566,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
230,141,1,0,100,124.311437,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
231,141,1,0,100,124.308746,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
231,142,1,0,100,124.307309,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
232,142,1,0,100,124.305690,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
233,142,1,0,100,124.303126,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
234,142,1,0,100,124.300342,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
234,143,1,0,100,124.296115,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
235,143,1,0,100,124.288160,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
236,143,1,0,100,124.282023,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
236,144,1,0,100,124.277796,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
237,144,1,0,100,124.271250,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
238,144,1,0,100,124.263704,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
238,145,1,0,100,124.259477,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
239,145,1,0,100,124.254340,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
240,145,1,0,100,124.245886,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
241,145,1,0,100,124.241158,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
241,146,1,0,100,124.236931,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
242,146,1,0,100,124.228976,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
243,146,1,0,100,124.222839,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
243,147,1,0,100,124.218612,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
244,147,1,0,100,124.212066,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
245,147,1,0,100,124.204520,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
245,148,1,0,100,124.200293,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
246,148,1,0,100,124.195156,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
247,148,1,0,100,124.186701,0.000182,2.270000,4.000000,0.500000,0.000010,0.000000
248,148,1,0,100,124.181974,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
248,149,1,0,100,124.177746,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
249,149,1,0,100,124.169792,0.000136,2.270000,3.000000,0.500000,0.000010,0.000000
250,149,1,0,100,124.163655,0.000091,2.270000,2.000000,0.500000,0.000010,0.000000
250,150,1,0,100,124.159427,0.000045,2.270000,1.000000,0.500000,0.000010,0.000000
