model,kt,ka,sa_coeff,n,flow_out_reach,stream_depth,geom,icalc,elev,flow_diff,depth_diff,flow_perc_err,depth_perc_err,combined_perc_err
M914,0.0001,5.5e-06,0.0,0.05,0.050368,0.2075,nSEG,2,GNSS,-0.03136800000000001,-0.007499999999999979,1.650947368421053,0.037499999999999895,0.8442236842105264
M915,0.0001,5.5e-06,0.0,0.08,0.049612,0.2632,nSEG,2,GNSS,-0.030612000000000004,-0.06319999999999998,1.6111578947368423,0.3159999999999999,0.9635789473684211
M916,0.0001,5.5e-06,0.25,0.03,0.051903,0.1546,nSEG,2,GNSS,-0.032903,0.045400000000000024,1.7317368421052632,0.22700000000000012,0.9793684210526317
M917,0.0001,5.5e-06,0.25,0.035,0.051852,0.1673,nSEG,2,GNSS,-0.032852000000000006,0.03270000000000001,1.7290526315789478,0.16350000000000003,0.9462763157894739
M918,0.0001,5.5e-06,0.25,0.04,0.051344,0.1793,nSEG,2,GNSS,-0.032344,0.020700000000000024,1.7023157894736842,0.10350000000000012,0.9029078947368422
M919,0.0001,5.5e-06,0.25,0.05,0.050839,0.1974,nSEG,2,GNSS,-0.031839000000000006,0.002600000000000019,1.6757368421052636,0.013000000000000095,0.8443684210526319
M920,0.0001,5.5e-06,0.25,0.08,0.049793,0.2487,nSEG,2,GNSS,-0.030792999999999997,-0.04869999999999999,1.6206842105263157,0.24349999999999997,0.9320921052631579
M921,0.0001,5.5e-06,0.5,0.03,0.051901,0.1476,nSEG,2,GNSS,-0.032901,0.0524,1.7316315789473684,0.262,0.9968157894736842
M922,0.0001,5.5e-06,0.5,0.035,0.051843,0.1596,nSEG,2,GNSS,-0.032843,0.04040000000000002,1.728578947368421,0.2020000000000001,0.9652894736842106
M923,0.0001,5.5e-06,0.5,0.04,0.051801,0.171,nSEG,2,GNSS,-0.032801,0.028999999999999998,1.7263684210526316,0.145,0.9356842105263158
M924,0.0001,5.5e-06,0.5,0.05,0.051151,0.1917,nSEG,2,GNSS,-0.032151,0.008300000000000002,1.692157894736842,0.04150000000000001,0.8668289473684211
M925,0.0001,5.5e-06,0.5,0.08,0.049904,0.2374,nSEG,2,GNSS,-0.030903999999999997,-0.03739999999999999,1.6265263157894736,0.18699999999999994,0.9067631578947368
M926,0.0001,1e-05,-0.5,0.03,0.054053,0.1982,nSEG,2,GNSS,-0.035053,0.0018000000000000238,1.8448947368421054,0.009000000000000119,0.9269473684210527
M927,0.0001,1e-05,-0.5,0.035,0.053466,0.213,nSEG,2,GNSS,-0.034466,-0.012999999999999984,1.8139999999999998,0.06499999999999992,0.9394999999999999
M928,0.0001,1e-05,-0.5,0.04,0.053282,0.228,nSEG,2,GNSS,-0.03428200000000001,-0.027999999999999997,1.8043157894736845,0.13999999999999999,0.9721578947368422
M929,0.0001,1e-05,-0.5,0.05,0.052919,0.2553,nSEG,2,GNSS,-0.033919000000000005,-0.055300000000000016,1.7852105263157898,0.2765000000000001,1.0308552631578949
M930,0.0001,1e-05,-0.5,0.08,0.051847,0.3226,nSEG,2,GNSS,-0.032847,-0.12259999999999999,1.7287894736842107,0.6129999999999999,1.1708947368421052
M931,0.0001,1e-05,-0.25,0.03,0.054548,0.1823,nSEG,2,GNSS,-0.035547999999999996,0.01770000000000002,1.8709473684210525,0.0885000000000001,0.9797236842105262
M932,0.0001,1e-05,-0.25,0.035,0.054108,0.1934,nSEG,2,GNSS,-0.035108,0.0066000000000000225,1.8477894736842106,0.03300000000000011,0.9403947368421054
M933,0.0001,1e-05,-0.25,0.04,0.053665,0.2059,nSEG,2,GNSS,-0.034665,-0.005899999999999989,1.8244736842105265,0.029499999999999943,0.9269868421052632
M934,0.0001,1e-05,-0.25,0.05,0.053216,0.2303,nSEG,2,GNSS,-0.034215999999999996,-0.030299999999999994,1.8008421052631578,0.15149999999999997,0.9761710526315789
M935,0.0001,1e-05,-0.25,0.08,0.052326,0.2915,nSEG,2,GNSS,-0.033325999999999995,-0.09149999999999997,1.7539999999999998,0.45749999999999985,1.1057499999999998
M936,0.0001,1e-05,0.0,0.03,0.054628,0.1692,nSEG,2,GNSS,-0.03562800000000001,0.030800000000000022,1.8751578947368426,0.1540000000000001,1.0145789473684212
M937,0.0001,1e-05,0.0,0.035,0.054502,0.1832,nSEG,2,GNSS,-0.035502000000000006,0.01680000000000001,1.868526315789474,0.08400000000000005,0.976263157894737
M938,0.0001,1e-05,0.0,0.04,0.054088,0.1923,nSEG,2,GNSS,-0.035087999999999994,0.007700000000000012,1.8467368421052628,0.03850000000000006,0.9426184210526314
M939,0.0001,1e-05,0.0,0.05,0.053377,0.214,nSEG,2,GNSS,-0.034377000000000005,-0.013999999999999985,1.8093157894736844,0.06999999999999992,0.9396578947368421
M940,0.0001,1e-05,0.0,0.08,0.052614,0.2715,nSEG,2,GNSS,-0.033614000000000005,-0.07150000000000001,1.7691578947368425,0.35750000000000004,1.0633289473684213
M941,0.0001,1e-05,0.25,0.03,0.054683,0.1577,nSEG,2,GNSS,-0.035683000000000006,0.042300000000000004,1.8780526315789476,0.21150000000000002,1.0447763157894738
M942,0.0001,1e-05,0.25,0.035,0.054553,0.1729,nSEG,2,GNSS,-0.035553,0.027100000000000013,1.8712105263157897,0.13550000000000006,1.0033552631578948
M943,0.0001,1e-05,0.25,0.04,0.054216,0.1816,nSEG,2,GNSS,-0.035216,0.0184,1.8534736842105262,0.092,0.9727368421052631
M944,0.0001,1e-05,0.25,0.05,0.053788,0.203,nSEG,2,GNSS,-0.034788,-0.0030000000000000027,1.8309473684210527,0.015000000000000013,0.9229736842105263
M945,0.0001,1e-05,0.25,0.08,0.052785,0.2565,nSEG,2,GNSS,-0.033784999999999996,-0.056499999999999995,1.778157894736842,0.2825,1.030328947368421
M946,0.0001,1e-05,0.5,0.03,0.055024,0.1524,nSEG,2,GNSS,-0.036024,0.0476,1.8960000000000001,0.23800000000000002,1.0670000000000002
M947,0.0001,1e-05,0.5,0.035,0.055,0.1649,nSEG,2,GNSS,-0.036000000000000004,0.03510000000000002,1.8947368421052635,0.1755000000000001,1.0351184210526319
M948,0.0001,1e-05,0.5,0.04,0.05448,0.1767,nSEG,2,GNSS,-0.03548,0.023300000000000015,1.8673684210526316,0.11650000000000008,0.9919342105263158
M949,0.0001,1e-05,0.5,0.05,0.053979,0.1941,nSEG,2,GNSS,-0.034978999999999996,0.005900000000000016,1.8409999999999997,0.02950000000000008,0.9352499999999999
M950,0.0001,1e-05,0.5,0.08,0.052906,0.2449,nSEG,2,GNSS,-0.033906000000000006,-0.044899999999999995,1.784526315789474,0.22449999999999998,1.004513157894737
M951,0.0001,5.5e-05,-0.5,0.03,0.075899,0.2361,nSEG,2,GNSS,-0.05689899999999999,-0.03609999999999999,2.9946842105263154,0.18049999999999997,1.5875921052631576
